Compound ID	Target ID	Target type	Acq. method	Name	S00010449	S00010450	S00010451	S00010452	S00010453	S00010454	S00010455	S00010456	S00010457	S00010458	S00010459	S00010460	S00010461	S00010462	S00010463	S00010464	S00010465	S00010466	S00010467	S00010468	S00010469	S00010470	S00010471	S00010472	S00010473	S00010474	S00010475	S00010476	S00010477	S00010478	S00010479	S00010480	S00010481	S00010482	S00010483	S00010484	S00010485	S00010486	S00010487
U01926	623728	UNIQUE	AQM003	UNKNOWN U01926, BP 174.11365, RT 2.594	14953605	10232327	17028015	14690025	14294990	13498442	15688263	15206188	16669955	13003818	12616282	15500442		16107742	13470358	16517689	16266169	14862415	16578866	16289155	15579262	12405383	13792634	11781702	15124902	14901565	12394097	13666166	11351794	14585915		8031024	16209300	10190971	9646024	6836533	12697007	12814800	9857511
U01935	623731	UNIQUE	AQM003	UNKNOWN U01935, BP 174.20563, RT 1.376	62221	28674	104253	85267	88900	58006	99178	98049	111785	72074	52682	102385		89795	54905	89370	79558	83148	63721	77551	100237	84848	78589	54881	70218	36594	82093	46398	46292	71349		16372	81926	44872	26155		71762	49397	83441
U01954	625991	UNIQUE	AQM003	UNKNOWN U01954, BP 702.8632, RT .436	190248	183941	267091	271491	348639	211687	332754	323802	297502	220413	254746	256630		220716	222325	201790	202269	192224	225460	201115	223176	127791	131955	148701	145582	146933	151570	154585	173973	185494		144818	155508				78647	55818	62391
U01996	742910	UNIQUE	AQM003	UNKNOWN U01996, BP 794.6045, RT 4.488				481286	380844											303526		224334																					
U01997	624235	UNIQUE	AQM003	UNKNOWN U01997, BP 257.22687, RT 2.898															114467										124824	165789							122318					45850	
U02009	742923	UNIQUE	AQM003	UNKNOWN U02009, BP 541.38627, RT 4.80105				162642	25751			137525	29993	19255		28227																											
U02010	626543	UNIQUE	AQM003	UNKNOWN U02010, BP 872.54155, RT 6.935	362878		23486		101387	63974	35870		74933		88555	163185					197871	318179	251499	266711	48351			136303		118341	178023	215559				152320		182769	103385	286515		390458	151772
U02025	625502	UNIQUE	AQM003	UNKNOWN U02025, BP 531.01508, RT .429	47510	37256	56515	42524	47668	33580	51377	42318	52756	38465	48730	48065		50085	42136	33627	39906	32066	39575	40829	39653	27017	22861	24288	27838	26893	24185		33930	43790		31394		59381	59862		23302	23004	22428
U02076	624987	UNIQUE	AQM003	UNKNOWN U02076, BP 377.21461, RT 3.173	141264	301088	187294													150180	36455	186068	23814		161321					102638	723751					133850	164475				66893	37635	
U02090	625458	UNIQUE	AQM003	UNKNOWN U02090, BP 509.18388, RT 3.054															31899				184118	122649	53600				82403	64628						63303	292114					155071	
U02105	743019	UNIQUE	AQM003	UNKNOWN U02105, BP 736.91339, RT 3.34135											104407	19495		97220	46225				156433		102832																		
