Compound ID	Target ID	Target type	Acq. method	Name	S00010449	S00010450	S00010451	S00010452	S00010453	S00010454	S00010455	S00010456	S00010457	S00010458	S00010459	S00010460	S00010461	S00010462	S00010463	S00010464	S00010465	S00010466	S00010467	S00010468	S00010469	S00010470	S00010471	S00010472	S00010473	S00010474	S00010475	S00010476	S00010477	S00010478	S00010479	S00010480	S00010481	S00010482	S00010483	S00010484	S00010485	S00010486	S00010487
C00337	771420	PRIMARY	AQM004	(S)-DIHYDROOROTATE										162035	131919	81355	146557	71627			116871	121409		263644																			
C00186	770816	UNIQUE	AQM004	(S)-LACTATE	6904528	7317924		5788834		6223585	4928011	4968770	5670459		6568467	5709615	5926325	7368588	7544648	6814008	7257217		7664679	7667945		7807274	9452630	10663645	9053442	7976478	10387827	7300713	8334344	6822255	7375595	7117283	7143310	17272450	17490645	22013134	13360025	12811143	12257996
CA1375	747214	UNIQUE	AQM003	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE					56305	48794								29053	21454																								
CA1156	747436	UNIQUE	AQM003	1,2-DIPALMITOYL-SN-GLYCEROL										3766612		2829817			42200																								
C01234	770863	UNIQUE	AQM004	1-AMINOCYCLOPROPANE-1-CARBOXYLATE				286719		266683	247146	210354	76318				162688	367827	117982	238327	162255		198344	168426		222429	227105	403207	289589	291837	257298	384862	221063	199727	156881	130428	196373	728007	616917	541134	392028	178240	372615
C03203	771322	UNIQUE	AQM004	1-HYDROXY-2-NAPHTHOATE	2505762	3008357	3477041	2724762	2192762	3946321	2949177	2491584	3076945	1038881	2148359	2622292	2815022	5156326		3412536	1933390	3125317	2072503	2104963		2240169	1126492	1773371		1593426	1388394		1963123	1827087	1423154	1616545	1106497			347745	1109353	649025	673604
C02494	747122	UNIQUE	AQM003	1-METHYLADENOSINE	448057	50022	35106	38689	79031	112255	147265		291544	45110	50523	44359		235541	44965	57528	122704		20064	84807	76543	69216	168070	90704	28131		197484	136768	195896	45432			173932	636899	384026		488855	388586	166049
C14790	747478	UNIQUE	AQM003	1-NAPHTHYLAMINE							10720		24193					30353																									
CA1373	747482	UNIQUE	AQM003	1-OLEOYL-RAC-GLYCEROL	599234	301321			517506	911187	510780	228897		392898	477143	853328		804925	1362282	671317	1442833	860370	1007601	1140903	527081	637837	1398283	1181450	2532365	68133		1329067	1476285	1248451		774000	793346		1841249	1605575	1472072	65631	2421408
C02774	747272	UNIQUE	AQM003	10-HYDROXYDECANOATE							2229007		1632819		729724	1403247		530976	412820	324095		187158		395389	1241121																		
C05284	771312	PRIMARY	AQM004	11-BETA-HYDROXYANDROST-4-ENE-3,17-DIONE				559356	510187					943308	791191	1154662	594831	739580	863764												334913					701125	873967				727439	894009	532707
C05475	775216	UNIQUE	AQM004	11BETA,21-DIHYDROXY-5BETA-PREGNANE-3,20-DIONE (*)	1596618	1967337	1271234	1442482		727111	1089240	1074947		1043354	1618949	1753956	836728	1264001	1332683	1708970	1759655	1317809	1258365	1415733		1325478	1514839	941454	1416725	1441089		1879775	1494596	2003840	912276	1431179	2304310		1138313	835448	1769283	1069603	1190384
C08317	747446	UNIQUE	AQM003	12-HYDROXY-DODECANOIC ACID	129240	327529		177865	293012		438081	174964	306822	135353	161513	381534		160954	307031	360453	228942	250701	136756	267766		291525	221413	80524	324301		168712	228659	267380			156283	143933		85217	133209			46376
C04717	775541	UNIQUE	AQM004	13(S)-HPODE (*)								10577318	614686																														
C04742	773883	UNIQUE	AQM004	15(S)-HETE (*)	4412943	4817065	10230264	2804987	2349853	6970922	6057193	477586		3456148		4864476	175675	7172391	6122920				4462122	4802157		3674218		2008053	6550163	2859253				3876960			169979	16407883		19191898	21422397	18606884	20316916
C01176	747727	UNIQUE	AQM003	17ALPHA-HYDROXYPROGESTERONE										491501		360289																											
C03917	771261	UNIQUE	AQM004	17BETA-HYDROXYANDROSTAN-3-ONE	169848	126727	315732	96649	120005	159727	148512	367770	174716	94879	117511	109834	227373	134214	147103	134730	82847		158940	133088		236367	80640	287641	148626	141748	156803	135723	249479	131613	128708	140412	132869	925424	986907	1214334	733768	674747	1205417
C15505	771331	UNIQUE	AQM004	2,3,5,6-TETRACHLOROPHENOL							321852	240145																															
C02777	771284	UNIQUE	AQM004	2,5-DIOXOPIPERAZINE		96189	231701																	354086																			
C05604	776738	UNIQUE	AQM004	2-CARBOXY-2,3-DIHYDRO-5,6-DIHYDROXYINDOLE (*)	42698	43166											30546		41944																								
C00586	757987	UNIQUE	AQM003	2-DEOXY-D-GLUCOSE	1011842	427968	248511	521817		1415026	611709		843591	246653	270385	805886		978948	905141	1064101	1001877	384591	1335597	378754	1342417	201585	159999					497090	218067	1066689									
C05984	771448	SECONDARY	AQM004	2-HYDROXYBUTYRIC ACID	61551		112682				159873	23423	128122	198133		142711	142605	109837		33872		14016				128077		212549		195004		149871	129294	158274			87966	589196	691200	868830	800239	723966	687285
C02630	773270	UNIQUE	AQM004	2-HYDROXYGLUTARATE (*)	213928		352498	32369	140328	185349		233842	170135	28575	253522		265992		160462	148366	27042			332334																			
C01983	747271	UNIQUE	AQM003	2-HYDROXYPHENYLACETIC ACID	407461	541916	395768	342149	506914	632888	620503	490677	380399	250258	527472	458550		316687	689400	395219	399488	615521	287965	360481	330247	214034	249171	154174	230960	138414	236369	374757	211631	169949		275019	289765	157495	39533	52077	131623	242284	
CA1107	747353	UNIQUE	AQM003	2-METHYLGLUTARIC ACID				22922	60142		12042	57877							90879	124993	39811	84857	46467	51760	79186		19980	19501	28767		35818	28616	37135	53698		69984	37588	17989			69321	55451	30550
C03219	747307	UNIQUE	AQM003	2-METHYLPROPANAL OXIME				34714	27938	39039	37540	37979	16911	26424	28202	81383		30285									36325	66274		24732			35047			44758	38312	55486	30920	29865		22166	85596
C06054	777367	UNIQUE	AQM004	2-OXO-3-HYDROXY-4-PHOSPHOBUTANOATE (*)	15591019	16468452	10558337	27577935	27687587	25240685	22486505	42959706	19075108	32868027	35339516	29136533	12530694	23606791	18525931	24092102	33665436	43213021	19599715	38175835		29383848	26244722	26101284	32437503	21639928	62739006	61682033	17830010	14609002	17320431	17003051	17404001	42506764	34654180	16737160	27422098	17334457	43259010
C00322	770840	UNIQUE	AQM004	2-OXOADIPATE							61219	39312	41794				41030	46292																									
C06325	747349	UNIQUE	AQM003	2-QUINOLINECARBOXYLIC ACID	202553	217328	193338	108052	171340	179464	138627	130382	95340	200995	125405	188961		226814	263228	218810	353041	107841	365417	307530	204106	335739			437399		275687	57433	169441	195380		203840		61108	179869	222833	73520	66244	198211
C15519	747467	UNIQUE	AQM003	25-HYDROXYCHOLESTEROL														37069																									
C03663	747328	UNIQUE	AQM003	2`,4`-DIHYDROXYACETOPHENONE	420686	579348	391396	338547	507519	689303	620504	489717	380115	250265	514352	451993		323112	700377	390671	419702	624892	296070	352312	327193	216168	241599	142725	225700	129910	226134	370570	193459	176316		259795	289765	131836	36532	45725	137306	234907	
C00206	746799	UNIQUE	AQM003	2`-DEOXYADENOSINE 5`-DIPHOSPHATE	40737	23251	19037				32228		35078					66274	36714	50599	81232	25562	74634	22884	61701					40859	47201	51687	55503	72080			17623	270983	67717	79236	28197		
C00360	747053	UNIQUE	AQM003	2`-DEOXYADENOSINE 5`-MONOPHOSPHATE	51233	45243	32969	45524	30928	11508	76837	48453	126142	106098	99450	159685		248294	108375	113387	338480	203492	83006	153565	218626	103118	64307	61269	58197	34728	47333	56594	281703	231673		40225	115205	1077181	1472345	172105	506683	761662	20726
C00131	771434	UNIQUE	AQM004	2`-DEOXYADENOSINE 5`-TRIPHOSPHATE				18812	28800																																		
C00881	660186	UNIQUE	AQM003	2`-DEOXYCYTIDINE	87592	37659	103832	74282	211126	356824	157689	206550						128009	109868	132618		97265	90155	86094	44328	65940	96162	219520	137414	171212	28440	183745	65648	98048		138756	71438		70219	1114095	611980	846075	283210
C00705	747227	UNIQUE	AQM003	2`-DEOXYCYTIDINE 5`-DIPHOSPHATE							36906		22426										30218	21159			21174				15300	34840	39680			36812		41091	58457		31312	28379	45197
C00239	747032	UNIQUE	AQM003	2`-DEOXYCYTIDINE 5`-MONOPHOSPHATE	25049		30927		31400	41628	20881	16966																															
C00330	746787	UNIQUE	AQM003	2`-DEOXYGUANOSINE	8510343	3510356	10382592	7858205	5167124	5219542	4996005	5817948		2494721	1843848	10453750		12591700	9418311	9677850	7095100	17998841	19918885	10562488	4672444	7458397	25825609	27682656	20695752	27391574	9478245	8739138	3759726	5471628		12715409	550146	33680770	44222239	46375267	21855713	19135387	40110455
C00361	746825	UNIQUE	AQM003	2`-DEOXYGUANOSINE 5`-DIPHOSPHATE	225973	200743	141260		908238	121583										184627		146295		264678	292443		5919695	4458486				136601							798294	232905			
C00362	746771	UNIQUE	AQM003	2`-DEOXYGUANOSINE 5`-MONOPHOSPHATE	92162	38393	242120		261756	147978	341529	295551						33896	23079		45232	152520	37512		56997	73465	133581	210335	21291	35965	127488	41789	62186			47614	63725	2584731	2160891	1055775	32339	142130	68174
C00365	771047	UNIQUE	AQM004	2`-DEOXYURIDINE 5`-MONOPHOSPHATE																	12626	46021		17562																			
C00460	771193	UNIQUE	AQM004	2`-DEOXYURIDINE 5`-TRIPHOSPHATE	74864	162014	33355		27866	46719				166596		136776	107229		147642	103605	131251		133042	137098			91963	87005		102567	103733	115132		98744		28403				32907	94233	103563	
C00230	771130	SECONDARY	AQM004	3,4-DIHYDROXYBENZOATE	242037	204607	332944	93834	326900	259456					119736	132524	106208	150866	121035	86957	281728	255927	250700			119552	39811	153155	83605	69938	97340		141969	142636	81426		108659	103433	81882		133723		
C05576	771397	UNIQUE	AQM004	3,4-DIHYDROXYPHENYL GLYCOL	545119	408911	689034	974781	809483	568811	888949	835883	1081290				954614	922422	643504	724864	652965	752128	751932	527355		487230	501549	633193		474067	319233	258140	524267	530033	148141	243307	335147				165030		
CA1222	746949	UNIQUE	AQM003	3,4-DIHYDROXYPHENYL GLYCOL		269550	80971							137529		70963								343261	267490																		
C01060	747235	UNIQUE	AQM003	3,5-DIIODO-L-TYROSINE	24849	24015	37598	28487	19586	60752	52826		17005	42237		21824		71949	46406	46616		54882							14857		312114										49679	38444	33521
C01198	771187	UNIQUE	AQM004	3-(2-HYDROXYPHENYL)PROPANOATE	288334	314104		124974	212057	239285	257906	101551	142345	151711	247948	239689	62697	131221	247873	220103	253077		128402	209370		286062	245884	414742	224924	250213		188099	297291	300076	291273			521301	721402	886288	374201	276470	449967
C03672	771251	UNIQUE	AQM004	3-(4-HYDROXYPHENYL)LACTATE				532806	479335		332489	419703	395371				450437	610127	517832		626094	699558					1877266	1789763					922657					4346687	4642854				
M12016	761368	UNIQUE	AQM003	3-(CYSTEIN-S-YL)ACETAMINOPHEN (*)	899935	869424	736801	637475	651099	729121	576042	659327	611030	684781	783912	642248		822906	991672	992012	1018207	899208	960356	914048	820079	909192	902480	766151	1186052	1183894	621118	986047	839194	1036462		944468	1073566	1107256	987062	738834	902196	1112418	515019
M05356	777326	UNIQUE	AQM004	3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPANOATE																			725272			1525981	1929301	1328333	1059163	976673		245852	840513		1011904		1168865	221954	548529	406325	1176235	333949	814680
C02637	747126	UNIQUE	AQM003	3-DEHYDROSHIKIMATE																			75446	42261																			
C03761	771291	PRIMARY	AQM004	3-HYDROXY-3-METHYLGLUTARATE	3970070	3631245	1383275	374314	2093109	3935198	1686356	375944	432001	2192783	1927354	1616384	358190	247194	2020784	306697	1907446		1689276	1907098		294181	1509175	1739121	1884799	268856	785332	351290	2174809	383477	2673692	2453480	318894	555296	503038	1931092	631316	1812399	379661
C02794	771337	SECONDARY	AQM004	3-HYDROXY-DL-KYNURENINE							74435	134926	172392								34987	10091	43691																				
C00632	771165	PRIMARY	AQM004	3-HYDROXYANTHRANILATE		88755	18101	26283	82597	93347	101933	43127		48606	66476	61634		61508	59554				67826	53678				78920	75861	38551		77096	39965	42545		29290	52229	78229	70656		28813		53646
C00632	747275	SECONDARY	AQM003	3-HYDROXYANTHRANILATE														18079																									
C03067	771227	UNIQUE	AQM004	3-HYDROXYBENZALDEHYDE	2873360	1933346		2008976		3146445	4029932	4770093	1268678	1394961	2692132	2133956	1784123	1714978	3847792	2216010	2296173		2030336	249820		263935	2604979	2683757	1909131	1199961	227160	2048756	1366023	1082849	1849880	1211118	260972	1270732	2121976	1897194	1009638	1868026	2358390
C03351	770896	UNIQUE	AQM004	3-HYDROXYBENZYL ALCOHOL	17507	144927		41043	35415			48672	31328	42175	36806		94924		113587					55998		74259	54139	88288				51106	74638	26877				82488	75613	139732			
CA1325	747333	PRIMARY	AQM003	3-METHYL-2-OXINDOLE	252510	425368	197367	239879		365247					384964	285028																											
CA1325	770954	SECONDARY	AQM004	3-METHYL-2-OXINDOLE																				59369																			
C00141	780285	UNIQUE	AQM004	3-METHYL-2-OXOBUTANOIC ACID (*)																							1534042	980049					1045016					1628155	1222303	2023380			
CA1195	771505	UNIQUE	AQM004	3-NITRO-L-TYROSINE		195006	165173	156157		335372	81265	166667	81670		131467	83941	92979	50120	106709	132295	66398	93379		127386		141900	97400		129145		113945	108967	209830	113732	157160	208127	160627		117477		103057		
C00606	771272	UNIQUE	AQM004	3-SULFINO-L-ALANINE	35639	51688	54455				30603	52028	97994				68327		45635				86093	18530											51079	84060	50061				21969		63997
CA1202	746869	UNIQUE	AQM003	3-UREIDOPROPIONIC ACID	579742	1282693													499220	127538	456811																						
C04722	775340	UNIQUE	AQM004	3ALPHA,7ALPHA,12ALPHA-TRIHYDROXY-5BETA-CHOLESTANOATE (*)		2602958	1461284				3668765	3139017	2752072	1447611	2041269	2800991	2624083	1402773	2657714	2176013	1645571	1555607	2179834																				
C04554	774543	UNIQUE	AQM004	3ALPHA,7ALPHA-DIHYDROXY-5BETA-CHOLESTANATE (*)		1473695	4292787	1627695	2076881	1837894	2407208	3960538	1351413	1664382	2335874	2021082				1697879	2146527			2430238																			
C03990	747504	UNIQUE	AQM003	3ALPHA-HYDROXY-5BETA-CHOLANATE				230615	86228									173459	280238										331966	77567						185765	150533						
C05822	747146	UNIQUE	AQM003	3`-CMP	494059	191672	1898794	831316	1972717	2028792	994775	1017457	593890	526305	608766	697446		631079	230103	1030661	913057	2004949	864621	807907	615131	2296560	2202026	4192289	1846404	1551744	1367345	1162744	663708	759432		1194650	945750	6650793	24099922	23835859	4422096	4676840	6044141
C05645	774751	UNIQUE	AQM004	4-(2-AMINO-3-HYDROXYPHENYL)-2,4-DIOXOBUTANOATE (*)	152998	114224	189718		26047	201205		61415	164163	68402	212874						226804	315986								155017	192758				260535	264477						447392	223670
C02946	747525	PRIMARY	AQM003	4-ACETAMIDOBUTANOATE					43159	26077	27596	32032	42481	17483		24008		54180	46825	14142	90720		116947	55229	41270	87427	65437	114405	105236	234039		33426	27717	113149		74752	33667	204465		164920	246916		121949
C02946	771288	SECONDARY	AQM004	4-ACETAMIDOBUTANOATE				38134	61095	55402				57537	90637	32435	51824	56227										53575					118423	92117				605586	1030571	1612335			
C00568	747347	PRIMARY	AQM003	4-AMINOBENZOATE	10725835	12865283	4757225	7071729	6043900	7307449	5918834	6455458	6779992	9462651	8764263	6618430		8077872	10673304	5520468	6893961	5869604	6588537	6342549	5849152	1440026	1817407	1946730	1797041	1910871	1788093	8536708	8402281	6276019		7424512	6231918	2868926	2572772	2715352	5213356	5644523	3191784
C00568	771019	SECONDARY	AQM004	4-AMINOBENZOATE	936876	869794	4235397	728795	3366064	746333		3396598	783113		740960	711316	671648	864877	773700	671581	744328	2728245	733701	694947		443550	312807	293068			392518	750290	787824	605640	659892	574121	2480527	1234667	486649	465666	630097	1480935	584614
CA1491	746975	UNIQUE	AQM003	4-AMINOBENZOYLGLUTAMIC ACID	466919	632601	291470	441146	328580	257616	332924	340921	314232	402284	276466	284328		304469	364695	240426	449622	314557	370586	324483	199394	245478	489959	735420	225724	184241	229662	420376	536529	295653		394629	304914				312571		
C04295	778021	UNIQUE	AQM004	4-ANDROSTEN-3BETA,17BETA-DIOL DISULFATE (*)																				308359																			
C00811	747419	UNIQUE	AQM003	4-COUMARATE	13285	18724																																					
C01035	746891	UNIQUE	AQM003	4-GUANIDINOBUTANOIC ACID	3116995	5948997	3203062	2411450	1410999	1882975	1468256	1555353	3029941	3083722	2597814	1840907		2378665	2474530	3043460	3334029	3166629	3018550	2431052	2377219	3893344	3977464	3710770	3770201	3588598	3184855	4880041	4902552	4441367		6044021	5826515	2362183	2345217	2544167	3302255	3253021	2323455
C01717	770895	PRIMARY_NOT_UNIQUE	AQM004	4-HYDROXY-2-QUINOLINECARBOXYLIC ACID							497234	758913	100808							1796882	1348906					1958188	1178411		1339023	1020582	1795543			1001047				1589529		823308	3075442	1902628	1095390
C01717	747310	PRIMARY_NOT_UNIQUE	AQM003	KYNURENIC ACID	29049	35448												32842																		58123	21831				894436	805817	
C06317	770920	UNIQUE	AQM004	4-HYDROXY-3-METHOXY-BENZENEMETHANOL																				16543		53499	39705	63636					13324						54998				
C05584	771244	SECONDARY	AQM004	4-HYDROXY-3-METHOXYMANDELIC ACID							239796	156771																															
CA1410	771246	UNIQUE	AQM004	4-HYDROXY-3-METHOXYPHENYLGLYCOL																				57548																			
CA1445	771430	UNIQUE	AQM004	4-HYDROXY-L-PHENYLGLYCINE				88042	68512																																		
C00642	771225	UNIQUE	AQM004	4-HYDROXYPHENYLACETATE	759601	242432						219947	269082	232344	232655	252165	282880		908363	161773	234566	711310		499294					190075	177570	196568					281532	42500						1279936
C00233	771150	UNIQUE	AQM004	4-METHYL-2-OXO-PENTANOIC ACID	3185818	980418		2387826		2527948	2171093	2261907	1908813	2599576	3199937	3702538	6675302	3530083	11907955	6992720	16845397		13074643	14833841		14425096	18933335	20357486	9269018	16199364	12915222	6253668	22039436	9293233	11027051	10306656	5482308	20324797	18982907	12301410	6417589	6350390	4658958
C06730	747390	UNIQUE	AQM003	4-METHYLCATECHOL	193507	254266	217575	210872	180270	332339	239409	181209	264248	153249	296334	256533		236748	211143	210999	142309	269701	161980	261793	354310	132587	166194	191375	189898	226512	133181	321850	138219	252650		341939	228878	179668	98322	116468	234358	214490	184543
C00870	770849	UNIQUE	AQM004	4-NITROPHENOL	893222	705240	715553	500121	932824	711547	976487	883427	303291	379071	489046	486340	351541	250095	1059267	454007	541720		564737	433353		382236	263380	560927	328186	232492	400707	333935	316460	211898	684471	258388	342483	256882	389174	496425	271548	369835	579668
C03360	747363	UNIQUE	AQM003	4-NITROPHENYL PHOSPHATE														44459																									
C05572	775325	UNIQUE	AQM004	4-OXOGLUTARAMATE (*)	436514	333970	397735		365747	446445		318445	488938				216971	650914	377894	269054	281713	302093	244334	300017		292731	370041	591923		305408	272266	452979	244781	321513	214337	290229	178408	804510	891246	830531	783981	781953	271755
C00847	771274	SECONDARY	AQM004	4-PYRIDOXATE	243038	244865		208878	285033	259304	243200	261395	231476	256018	218748	213823	261453	278782	246530	235526		261994	286578	357959		375691	510578	587809	345204	381377	529861	390096	271708	345048	204949	308367	209671	7760369	4023738	3905135	7207660	6877621	4271436
C06414	747379	UNIQUE	AQM003	4-QUINOLINECARBOXYLIC ACID				293592	263186		304744	329853	325506													318169	313153	400399					1165523	857627				482828	500710				
C00429	770887	UNIQUE	AQM004	5,6-DIHYDROURACIL	13611960	13280104		11607573	12493934	12689284	11553639	11958368	11708263	13432973	12258311	12412949	11087702	12808103	13394384	12007624	14107016		13358969	12681939		11048347	14833912	15348688	12122494	13530975	14435993	14021079	15190373	13773636	14416009	13586328	13345870	13388021	11925420	9500933	11636702	9441083	12734881
C04677	747181	UNIQUE	AQM003	5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5`-MONOPHOSPHATE										55319	43143	52972			31948	64578	80316		56155	42386	36384		28199				23752	40902	42107	73162		34884	27475	74067			33239	29633	
C00430	771046	UNIQUE	AQM004	5-AMINOLEVULINIC ACID	612430	437816		1194373		939907	2521033	1358910	2613164	835200	844412	1313330	1904539	1532207	1160043	1132635	911836		1443426	1399922		1884829	1846930	2137940	2053069	2007846	1853666	493068	3395989	1957957			1051232				2278009	2531604	
C03373	624504	UNIQUE	AQM003	5-Aminoimidazole ribotide (*)	83623	116628	258219	165716	165740	149449	274294	138236	184924	79821	155759	133783		248705	122617	458817	175434	227445	385960	367026	663599	398624	414027	111888	3852637	3541206	3225976	459249	325262	476164		2665767	3824327	16122			359820	146110	
C01017	746925	UNIQUE	AQM003	5-HYDROXY-L-TRYPTOPHAN							47637		36675	89224	198605	148237																											
C05635	780627	UNIQUE	AQM004	5-HYDROXYINDOLE-3-ACETIC ACID	299204506	272885579	274134678	278444427	273411841	266156911					259892804	261037197	255256172	283313911		268852000	283265199	271970297	275173571	271367824		267758847	282921396		275269193		275337319		263224680	280589545	253371459	253500611	272100265	244479550		213123253	250929500	227823733	244572194
C03088	747118	UNIQUE	AQM003	5-HYDROXYMETHYLURACIL														28623																									
C02804	736888	UNIQUE	AQM003	5-HYDROXYPENTANOIC ACID	54804	114257	132104	61334	24006	59976	71107	55635	57296	36644	38231	44637		64605	76924	51384	76112		64166	83789	89445	51119	42887	48351	34481	40834	53606	130074	58559	89066		95304	97493	25970	49974	34020	99292	67188	62388
C02376	747156	UNIQUE	AQM003	5-METHYLCYTOSINE	53661	815327	39853				30393		202087	369179	107428	32027		76532	54972	60321	33568	72489	26608	19393																			
C01879	771283	PRIMARY	AQM004	5-OXO-PROLINE	176958633	162225816	146148497					107594900	104273833		122551401	106636249				136270181	132870695	193753841	134046598	141075913							121749314				144544063	146457289	118894462					162260586	
C01879	747524	SECONDARY	AQM003	5-OXO-PROLINE	122603365	108687565	67976563	60456109	39225622	64248692	50365091	45298030	48837886	72134986	79344080	51604627		90252411	102842933	79410182	86607381	110439025	85477914	85465467	72897217	70673583	78284042	89393015	94949283	92362754	73162250	112302899	37881277	77820865		102177306	70220961	25545918	34414347	20188378	40352210	43884511	12920064
C00119	771240	UNIQUE	AQM004	5-PHOSPHO-ALPHA-D-RIBOSE	86199	56120	140170	64992	102003	111078		96672	61927	79856	66889	83911	91363	116805	112593	86554	69479	111411	120947	95724		218769	137376	221678	165740	193048	93474	114147	75790	104001	95710	138562		206975	179022		118467	153088	359793
C02240	758013	UNIQUE	AQM003	5-VALEROLACTONE	44278	281335	178200	124197	113521	131724	136473	103616	155974	105310	318583	212943		265156	63204	85705	157549	255617	171969	271982	449675	51210	77689	108465	78737	251869	86253	323884	152182	300915		382764	264717	82812	55117	95867	185077	117237	91091
C03681	747494	UNIQUE	AQM003	5ALPHA-PREGNANE-3,20-DIONE							15458		13689																														
C05293	638062	UNIQUE	AQM003	5BETA-DIHYDROTESTOSTERONE (*)				59350	43038		46276	49911	60229	67627	55119	57836		80265	73625	57447	85735	74201	72713	79525	49851	73438		80958	76724				57052	67384			84658		70106		67376	75009	
C00170	747025	UNIQUE	AQM003	5`-METHYLTHIOADENOSINE	22856456	22675769	20089703	17856579	18631728	23427704	16377720	18579246	16253736	25192264	23828151	18378828		25922186	26330320	34084195	37006963	38949873	31138476	30993300	24896114	57546478	59221008	59998598	46072171	42509326	36500184	36828156	36784240	30997448		27736078	18926538	66211170	73047271	81259340	30547499	43788095	27616112
C00268	660201	UNIQUE	AQM003	6,7-DIHYDROBIOPTERIN		30473	25761		45054	20739				14063	14457				22878	53779	59100	40953				102156	128972	121489				72426	69056	83371				69668	117177	97552			
C00345	771172	SECONDARY	AQM004	6-PHOSPHOGLUCONIC ACID	584695	636952	962703	451655	1210188	769971	821145	844213	280072	936098	603476	1291471	577788	261345	334859	735834	1520205	771726	942607	657273		356402	220510	571449	1506459	1586945	1881406	534710	1665685	1095816	1278012	992590	1515439	3018968	6830910	4078265	4389311	4348116	446121
C07756	758004	UNIQUE	AQM003	7-AMINOCEPHALOSPORANIC ACID	64456		46143	33450	23392	60324	18951	25999	21964					28390		36749		34610																					
C14825	777865	UNIQUE	AQM004	9(10)-EPOME (*)				29707		51966				30215	50340			86562	24447					38440																			
C02807	771143	UNIQUE	AQM004	ACENAPHTHENEQUINONE				65078	38575					15535	43679	66539				80389		28440		29233																			
C00164	757992	UNIQUE	AQM003	ACETOACETATE		61305	95184	81265	77703	109922	76067	91497	51363	63592		74237		67486	71967				82817	93868	116220				102208	98517	61421					112680	79604						
C03248	770935	UNIQUE	AQM004	ACETYLENEDICARBOXYLATE							1178453		926891	910332		928836		139612	95914					153380				133023				812851	837720						98601	130587			
C00417	773244	UNIQUE	AQM004	ACONITATE (*)	2532978	1745223	3640832	2455203	3298299	2112594	2551998	2761681	2695688	2342696	2171657	3899417	2952594	2754300	2306367	4386158	4886304		4920300	3515193		10156595	10915998	9449792	9385733	9585649	10113784	5062825	5592880	6030799	5167120	4820117	5630082	9352736	7473331	7124782	9482966	8035798	10874727
C00147	747182	PRIMARY	AQM003	ADENINE	16328451	6495095	10298654	8870699	22133633	23489873	17673793	26747598	3863822	8457292	5609328	14457318		11819063	12215234	8863346	16687239	14137298	20226325	13905451	5035568	8649117	30846235	20493790	9906576	10898991	12076947	10542488	12204774	10026485		17481088	5800077	21797767	7334740	3050906	22338716	25411579	9670568
C00147	771341	SECONDARY	AQM004	ADENINE				9385442	22568793		15929477	27158998	3876909	9338459	5053142	14233610	3957408	11352516	10651329				17525737			6479488	23952008	14302956	6885076	7336000	9713617		12184648	10740351				24550521	8221376	3470149	24246387	31916058	12782211
C00212	746912	UNIQUE	AQM003	ADENOSINE	1486576	20353218	112796	628974	154130	232584	332350	237931	16849027	45371783	25931949	78364222		391465	20920469	5558174	146137209	683924	17197628	47601138	28481227	6491136	42148968	1683261	381078	537890	50754592	64530203	98004899	83467225		10473292	40463778	67106255	39239993	556201	151361126	200431722	464836
C00575	747168	PRIMARY	AQM003	ADENOSINE 3`,5`-CYCLIC MONOPHOSPHATE	152750		63827	88928	98639	27651	50135	137649							36765	38006		80023	66104	63961	53768	83281	123033	130923	26013	35524	100275	62270		94770		30263	88260	470144	319211	349369	291687	308939	284394
C00575	771006	SECONDARY	AQM004	ADENOSINE 3`,5`-CYCLIC MONOPHOSPHATE										17275	18610																												
C00008	771425	UNIQUE	AQM004	ADENOSINE 5`-DIPHOSPHATE	956277	1063385	2073846	2965129	544943	830892	612059	2703878	782709	6574858	836179	3856757	614802	842725	849479	935220	828333	1020320	646464	760536		783525	6994835	788747	481455	3571892	535017	947554	12850366	801476	729333	765742	671572			148391	4284556	9491897	326455
C00020	746805	UNIQUE	AQM003	ADENOSINE 5`-MONOPHOSPHATE	751132	5651283	877247	639438	654922	317598	1100503	713375	5012689	19315483	3716693	4455592		1753739	1388720	6920097	16173414	2746542	1072534	2917981	7393311	8164985	5791486	573129	651031	648586	3100142	3758680	37759476	14755680		313025	9984123	47710700	44594784	4182169	7976339	36664631	86331
C00002	747176	UNIQUE	AQM003	ADENOSINE 5`-TRIPHOSPHATE	76864	2010276	47383	623945	348272	183123	179890	228126	77390	328390	7286344	65444		330495	4066832	625085	516362		54803	4400577	46022	380044	676431		105722	999324		4025431	168034	320763		1340216	3320381	2651921	744756	321840	294919		414365
CA1496	747779	UNIQUE	AQM003	ADENOSINE DIPHOSPHATE	2288729	3595523	3146402				3793233		3373789	4749917	2082990	2922063		5598980	1499428	8435263	5062100	8199573	1687072	4602426	2899417	14171598			2900855	2457684	3208163	5712725	5679109	6634423		2029826	10059989	6315384	1773100	299623	1403784	4520235	52888
C00498	771044	UNIQUE	AQM004	ADENOSINE-5`-DIPHOSPHOGLUCOSE	238951	221591	226760	151230	221502	376248	256188	221236	225266	189317	38380	236281	240630	287933	211336	389321	92961	243178	84102	73756		662383	155063	611006	417560	58376	61434	461622	394104	508368	373403	103909	18953	688312	85702	661365	376577	84366	205113
